NRO_DOC_FISCAL,RUC,RAZON_SOCIAL,COD_CLIENTE,COD_CUENTA,FUENTE,SISTEMA,FECHA_EMISION,FECHA_VTO,MONEDA,CHARGE_NET_AMOUNT,CHARGE_IGV_INVOICE,CHARGE_TOTAL_AMOUNT,origen_fecha_vto_mal_formada,total_pagado,cantidad_pagos,requirio_correccion_formato,total_nota_credito,monto_neto_a_pagar,diferencia,esta_vencida,estado_conciliacion,diferencia_es_trivial_redondeo
S9AA-0082365799,2005090949,CLIENT_00830,731945331,979976857,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,33.94,6.1,40.04,False,40.04,1,False,0.0,40.04,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007761251,2077048357,CLIENT_00123,494871031,192283257,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,100.79,18.14,118.93,False,118.93,1,False,0.0,118.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081858291,2026562260,CLIENT_00100,97851885,747228306,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,63.29,11.4,74.69,False,74.69,1,False,0.0,74.69,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082234271,2087931136,CLIENT_00555,229539621,416642747,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,20.35,3.66,24.01,False,24.01,1,False,0.0,24.01,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007640657,2049062431,CLIENT_00233,359002531,609571067,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,23.44,4.21,27.65,False,27.65,1,False,0.0,27.65,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082450960,2026807327,CLIENT_00677,64288416,286845057,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,23.67,4.26,27.93,False,27.93,1,False,0.0,27.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081847290,2058943768,CLIENT_00054,77299695,98279857,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,77.06,13.87,90.93,False,90.93,1,False,0.0,90.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081826717,1003385935,CLIENT_00953,57782806,460217237,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,111.76,20.12,131.88,False,131.88,1,False,0.0,131.88,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081854895,2088706641,CLIENT_00419,87007116,449196257,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,41.47,7.46,48.93,False,48.93,1,False,0.0,48.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082262296,2015648856,CLIENT_00530,52223795,620789857,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,91.83,16.53,108.36,False,108.36,1,False,0.0,108.36,0.0,True,CONCILIADA_EXACTA,True
